profile_id,jaw_id,vertex_id,x_mm,z_mm
P001,jaw_0,0,350,-16
P001,jaw_0,1,350,-24
P001,jaw_0,2,362.22,-24
P001,jaw_0,3,364.94,-20
P001,jaw_0,4,364.94,-16
P001,jaw_1,0,369.65,-16
P001,jaw_1,1,366.94,-20
P001,jaw_1,2,366.94,-24
P001,jaw_1,3,402.22,-24
P001,jaw_1,4,404.94,-20
P001,jaw_1,5,404.94,-16
P001,jaw_2,0,409.65,-16
P001,jaw_2,1,406.94,-20
P001,jaw_2,2,406.94,-24
P001,jaw_2,3,442.22,-24
P001,jaw_2,4,444.94,-20
P001,jaw_2,5,444.94,-16
P001,jaw_3,0,449.65,-16
P001,jaw_3,1,446.94,-20
P001,jaw_3,2,446.94,-24
P001,jaw_3,3,482.22,-24
P001,jaw_3,4,484.94,-20
P001,jaw_3,5,484.94,-16
P001,jaw_4,0,489.65,-16
P001,jaw_4,1,486.94,-20
P001,jaw_4,2,486.94,-24
P001,jaw_4,3,522.22,-24
P001,jaw_4,4,524.94,-20
P001,jaw_4,5,524.94,-16
P001,jaw_5,0,529.65,-16
P001,jaw_5,1,526.94,-20
P001,jaw_5,2,526.94,-24
P001,jaw_5,3,575,-24
P001,jaw_5,4,575,-16
P001,jaw_6,0,350,-73
P001,jaw_6,1,350,-24
P001,jaw_6,2,354,-24
P001,jaw_6,3,354,-73
P001,jaw_7,0,402.44,-73
P001,jaw_7,1,402.44,-24
P001,jaw_7,2,405.44,-24
P001,jaw_7,3,405.44,-73
P001,jaw_8,0,442.44,-73
P001,jaw_8,1,442.44,-24
P001,jaw_8,2,445.44,-24
P001,jaw_8,3,445.44,-73
P001,jaw_9,0,482.44,-73
P001,jaw_9,1,482.44,-24
P001,jaw_9,2,485.44,-24
P001,jaw_9,3,485.44,-73
P001,jaw_10,0,522.44,-73
P001,jaw_10,1,522.44,-24
P001,jaw_10,2,525.44,-24
P001,jaw_10,3,525.44,-73
P001,jaw_11,0,571,-73
P001,jaw_11,1,571,-24
P001,jaw_11,2,575,-24
P001,jaw_11,3,575,-73
