energy_keV,weight
16,1.109460973322096e-05
17,4.000631377323095e-05
18,0.0001116033115118937
19,0.0002566224520584708
20,0.0005062880079330831
21,0.0008810938097129989
22,0.001404193794803447
23,0.002060633097047654
24,0.002849777319095863
25,0.003719903839223583
26,0.004674477236469255
27,0.005632994366181854
28,0.006665120378796718
29,0.007604055299765428
30,0.008519772977810579
31,0.009370433610288159
32,0.01015872600401906
33,0.01087305384073413
34,0.01152262885628065
35,0.01207568197040039
36,0.01254363054583368
37,0.01294203923970181
38,0.01327796561067363
39,0.01353501956925103
40,0.01373582333122415
41,0.01387930763730815
42,0.01398540365952815
43,0.01403464551023403
44,0.01405236434453382
45,0.01402416766402014
46,0.013971480919384
47,0.01388586859438444
48,0.01378370735685492
49,0.01365925720820772
50,0.01351366346382746
51,0.01335515807804102
52,0.01317310885549088
53,0.0129920461252935
54,0.01280035567362682
55,0.01261381466730266
56,0.01239735005961147
57,0.01218892502905366
58,0.05406119020600093
59,0.08543583010923438
60,0.0115551383650395
61,0.01134083688230323
62,0.01111891189403815
63,0.01089944754429469
64,0.01069439806239971
65,0.01047146868622899
66,0.01026238152021444
67,0.03516357583770908
68,0.009843569659113842
69,0.01622997798645467
70,0.008475132521140138
71,0.008324335644758703
72,0.008175990459122451
73,0.008036114343888798
74,0.007892999133583047
75,0.007750295520993639
76,0.007605549578431285
77,0.007465353580189822
78,0.007324506631212184
79,0.007183751396943079
80,0.007045544042015907
81,0.00690802342893068
82,0.006773750858693994
83,0.006639865279788435
84,0.00650710264682638
85,0.006374727005195453
86,0.006245594932524846
87,0.006120247769289314
88,0.005993171448256317
89,0.005868146404972708
90,0.005748096325390996
91,0.005625800353922276
92,0.005507779182648847
93,0.005391860738839349
94,0.005275161601535264
95,0.005162712658041253
96,0.00505072899892224
97,0.004940053952107908
98,0.00483204757961748
99,0.004725671939383654
100,0.004621904575982748
101,0.004517810618741698
102,0.004416358492495227
103,0.004316179187447667
104,0.004217914706558751
105,0.004120690404681249
106,0.004026018456033901
107,0.003931031098266964
108,0.00383811515074641
109,0.003748006568084615
110,0.003657598234912005
111,0.003569590142770032
112,0.003482946586535503
113,0.003396933848540154
114,0.003311487057404778
115,0.003228984084718906
116,0.003147044821948896
117,0.003065620056324317
118,0.002985913263776651
119,0.002907761147385828
120,0.002829922203170485
121,0.002753049618810906
122,0.002678391609120787
123,0.002603234760894011
124,0.002529408894413022
125,0.002458117485609304
126,0.002385219950934199
127,0.002314447513164132
128,0.002245708457590569
129,0.002175829678992673
130,0.002107516984966583
131,0.002039901099030934
132,0.001973652880724485
133,0.001906397142790638
134,0.001841262922651251
135,0.001776215495943353
136,0.001711331366155528
137,0.001647413819917877
138,0.001584881165779077
139,0.001520538376466008
140,0.001458449755733155
141,0.001397112077138219
142,0.001333796716255133
143,0.001271836943503049
144,0.001211788415799032
145,0.001149032514637998
146,0.001087098914132007
147,0.00102713494291537
148,0.0009649765295262678
149,0.0009029639648931745
150,0.0008421613633294861
151,0.0007779845552694207
152,0.0007107033161727128
153,0.0006451062722968496
154,0.0005808263411132872
155,0.0005159140258296681
156,0.000452549228481738
157,0.0003780610028496105
158,0.0002490101312502168
159,0.0001230361091665823
160,0
